name,rating,total_reviews,category,review,address,lat,lon,geocode_confidence,found_address
Hội An Quán,4.1,216,Món ăn Việt Nam,"Đồ ăn cũng bình thường, quán decor đẹp.","308/26 Hoàng Văn Thụ, 1/5 Đ. Út Tịch",10.76912075,106.7027598636696,0.495,"1/5, Pasteur Street, Saigon, Ho Chi Minh City, HC 71010, Vietnam"
Mì Quảng Sâm,4.2,1952,Quán mì,"Món ăn tạm được, quán thoáng mát, nhân viên nhiệt tình.",16 Ca Văn Thỉnh,10.789294,106.644691,0.5,"16, Ca Văn Thỉnh, Ho Chi Minh City, HC, Vietnam"
Nhà Hàng Biển Đông 3,4.2,190,Nhà hàng giá rẻ,Ăn uống rẽ quán sạch nhân viên nhiệt tình.,527 Đ. Âu Cơ,10.781208,106.6432947,1.0,"527, Đường Âu Cơ, Ho Chi Minh City, HC 72000, Vietnam"
4K STATION - Trạm dừng tuổi trẻ,4.2,1447,Nhà hàng,"Quán ăn ngon, lên món nhanh, nhân viên nhiệt tình.",437 Đ. Hoàng Văn Thụ,10.800554,106.663623,0.5,"437, Đường Hoàng Văn Thụ, Ho Chi Minh City, HC, Vietnam"
Quán Nướng Bia Lu,4.2,358,Nhà hàng,"Quán món ngon, giá rẻ, chất lượng, vệ sinh, view đẹp thoáng mát.",20 Đ. Trần Quốc Hoàn,10.846972,106.701893,0.25,"Ho Chi Minh City, HC, Vietnam"
Quán Hằng Tân Bình | Chuyên các món cá Miền Trung | Các món đặc sản Miền Trung,4.1,33,Nhà hàng,"Đã ăn ở quán ròi,.",6c Thái Thị Nhạn,10.78447,106.643534,0.5,"6c, Thái Thị Nhạn, Ho Chi Minh City, HC, Vietnam"
Nhà Hàng Ẩm Thực 316 - Địa điểm quán ngon Tân Phú,3.9,546,Nhà hàng,Quán ăn hải sản có thêm những món như gà hoặc bò.,316 Tân Sơn Nhì,10.798511,106.631736,0.5,"316, Tân Sơn Nhì, Ho Chi Minh City, HC, Vietnam"
Đậu Homemade - Bún đậu mắm tôm,4.0,2196,Món ăn Việt Nam,Mang tiếng là đi ăn bún đậu nhưng Lu đã lỡ gọi cũng kha khá món.,6 Hồng Hà,10.8133395,106.6671785,1.0,"6, Hồng Hà, Ho Chi Minh City, HC, Vietnam"
Tiệm Bia Bọt - Quán Rooftop Tân Bình,4.7,307,Quán bia sân vườn,"Bia ngon, rooftop, view đẹp và thoáng, ngắm được máy bay bay ^^.",8/28 Nguyễn Đình Khơi,10.794883,106.657383,0.5,"Nguyễn Đình Khơi, Ho Chi Minh City, HC, Vietnam"
Súp Cua Út Tuyền| Súp Cua Ngon Gần Đây| Súp Cua Tân Bình,4.3,633,Quán ăn nhỏ,"Hồ lô nướng, bánh tráng nướng, cút lộn xào me cũng vừa miệng.",162 Nguyễn Thị Nhỏ,10.7739112,106.6530542,1.0,"162, Nguyễn Thị Nhỏ, Ho Chi Minh City, HC, Vietnam"
