ten_quan,diem_trung_binh,dia_chi,gio_mo_cua,gia_ca,lat,lon,url_anh,diem_Không gian,diem_Vị trí,diem_Chất lượng,diem_Phục vụ,diem_Giá cả,thuc_don,url_goc
Fresh Origin Coffee - Aeon Mall Bình Tân,6.5,"Aeon Mall Bình Tân, Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",Đang mở cửa  10:00 - 22:00,20.000đ - 50.000đ,10.7439335945307,106.6128355264663,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa2hthbmnyz95,7.3,6.7,6.5,6.3,5.7,,https://www.foody.vn/ho-chi-minh/fresh-origin-coffee-aeon-mall-binh-tan
TIỆM TRÀ SOLI QUẬN 4 - TRÀ SỮA ĐẬM VỊ & TRÀ TRÁI CÂY,_._,"83 Đường 41, P. 9, Quận 4, TP. HCM",Đang mở cửa  09:00 - 22:00,Đang cập nhật,10.7594539000000,106.7014833000000,https://down-vn.img.susercontent.com/vn-11134513-820l4-mfn8vexct3pme6,--,--,--,--,--,Hotline (1.000đ) | OLONG SỮA (29.000đ) | TẤM GẠO (29.000đ) | KHÓI B LAO (29.000đ) | TS PHÚC LONG (29.000đ) | OLONG XANH (32.000đ) | OLONG NHÀI SỮA (32.000đ) | OLONG SỮA DỪA (32.000đ) | OLONG HẠNH NHÂN (32.000đ) | OLONG HẠT PHỈ (32.000đ) | TS NGUYÊN LÁ Ủ (29.000đ) | TS HẠNH NHÂN NGUYÊN LÁ (32.000đ) | TS MATCHA OKINAWA (32.000đ) | TRÀ VẢI DẦM AIYU (30.000đ) | THANH TRÀ PHÚC BỒN TỬ (30.000đ) | TRÀ LÀI ĐÁC THƠM (39.000đ),https://www.foody.vn/ho-chi-minh/tiem-tra-soli-quan-4-tra-sua-dam-vi-tra-trai-cay
Hoa Ban Quán - Hải Sản,7.5,"537/13 Nguyễn Duy Trinh, P. Bình Trưng Đông, Quận 2, TP. HCM",Đang mở cửa  12:00 - 23:59,39.000đ - 300.000đ,10.7895620000000,106.7706850000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfzs4v7bxlnf9,7.5,7.5,7.5,7.5,7.5,,https://www.foody.vn/ho-chi-minh/hoa-ban-quan-hai-san
Truyền Thuyết Champong - Phú Nhuận,_._,"449/1 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",Đang mở cửa  07:00 - 23:59,Đang cập nhật,10.8009554000000,106.6842235000000,https://down-vn.img.susercontent.com/vn-11134259-820l4-mgyvcll6iwp741,--,--,--,--,--,Thịt Heo Sốt Chua Ngọt Size Mini (탕수육 미니) (180.000đ) | Mì Tương Đen Xào Cay (150.000đ) | Thịt Heo Sốt Chua Ngọt Size Medium (탕수육 중) (400.000đ) | Gochu Japchea (고추잡채) (600.000đ) | Gochu Japchea Medium (고추잡채 중) (350.000đ) | Giang Chang Phi (양장피) (600.000đ) | Palboche (팔보체) (600.000đ) | Choke Bukkum (조개볶음) (500.000đ) | Thịt Heo Sốt Chua Ngọt Size Small (탕수육 소) (300.000đ) | Thịt Heo Sốt Chua Ngọt Size Large (Thịt Heo Sốt Chua Ngọt Size Large) (500.000đ) | Giang Chang Phi Medium (양장피 중) (350.000đ) | Palboche Medium (팔보채 중) (350.000đ) | Mì tương đen (짜장면) (120.000đ) | Mỳ Champong Bạch Tuộc Và Hải Sản (스페셜짬뽕) (200.000đ) | Cơm Trộn Hải Sản Xào Cay (스페셜덮밥) (200.000đ) | Mỳ Thêm (40.000đ) | Mỳ Champong Ba Chỉ Bò Cay (차돌박이짬뽕) (200.000đ),https://www.foody.vn/ho-chi-minh/truyen-thuyet-champong-phu-nhuan
Quán R15 - Bàu Cát 1,_._,"70 Bàu Cát 1, P. 13, Quận Tân Bình, TP. HCM",Đang mở cửa  06:00 - 22:00,50.000đ - 100.000đ,10.7939712532996,106.6434821393533,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbh071akkihdc,--,--,--,--,--,Bánh hoa cúc (40.000đ) | Cơm sườn ram (50.000đ) | Cơm gà góc tư (70.000đ) | Bánh nho dừa (45.000đ),https://www.foody.vn/ho-chi-minh/quan-r15-bau-cat-1
"Gà Nướng & Lẩu Gà Đệ Nhất - 469 Nguyễn Tri Phương, Quận 10",_._,"469 Nguyễn Tri Phương, P. 8, Quận 10, TP. HCM",Đang mở cửa  07:00 - 22:00,Đang cập nhật,10.7652964000000,106.6675213000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m0mo22c8ez8t33,--,--,--,--,--,Combo Gà nướng mắm nhĩ Đệ Nhất (lớn) (280.000đ) | Combo Gà nướng muối ớt Đệ Nhất (lớn) (280.000đ) | Combo Gà nướng mắm nhĩ Đệ Nhất (nhỏ) (250.000đ) | Combo Gà nướng muối ớt Đệ Nhất (nhỏ) (250.000đ) | Combo No Nê Gà nướng mắm nhĩ Đệ Nhất (lớn) (350.000đ) | Combo No Nê Gà nướng mắm nhĩ Đệ Nhất (nhỏ) (320.000đ) | Combo No Nê Gà nướng muối ớt Đệ Nhất (lớn) (350.000đ) | Combo No Nê Gà nướng muối ớt Đệ Nhất (nhỏ) (320.000đ) | Cơm lam (2 ống) (57.000đ) | Xôi đậu xanh (42.000đ) | Nước chấm (5.000đ) | Cơm lam(1 ống) (29.000đ) | Bánh bao chiên(6 cái) (42.000đ) | Hộp rau dưa leo (8.000đ) | Hộp đồ chua (8.000đ),https://www.foody.vn/ho-chi-minh/ga-nuong-lau-ga-de-nhat-469-nguyen-tri-phuong-quan-10
Quán 2 Con Mèo - Bánh Mì & Súp Cua,_._,"44B Đường Số 8, P. Trường Thọ, Tp. Thủ Đức, TP. HCM",Chưa mở cửa  06:00 - 12:00 | 15:00 - 19:00,12.000đ - 25.000đ,10.8445010000000,106.7571740000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv1qo5ssczod8,--,--,--,--,--,Rau Má (15.000đ) | Cam Vắt (25.000đ) | Chè Dưỡng Nhan (30.000đ) | Nước sâm (15.000đ),https://www.foody.vn/ho-chi-minh/quan-2-con-meo-banh-mi-sup-cua
Lẩu Bò Hân Quận 5 - Nguyễn Biểu,_._,"88 Nguyễn Biểu, P. 1, Quận 5, TP. HCM",Đang mở cửa  00:00 - 01:00 | 15:00 - 23:59,Đang cập nhật,10.7552030000000,106.6839220000000,https://down-vn.img.susercontent.com/vn-11134259-7ras8-mcg68apen9a48a,--,--,--,--,--,Bắp bò hấp (129.000đ) | Đuôi bò hấp (179.000đ) | Óc bò hấp (129.000đ) | Dồi trường hấp (179.000đ) | Gù Bò Hấp (179.000đ) | Tủy hấp (179.000đ) | Lòng hấp (129.000đ) | Lưỡi hấp (129.000đ) | Bò cuộn rau rừng (179.000đ) | Vú nướng (129.000đ) | Sườn nướng (179.000đ) | Phèo nướng (129.000đ) | Gù bò nướng (179.000đ) | Thăn bò nướng (129.000đ) | Gỏi bò bóp thấu (129.000đ) | Khăn lông bóp thấu (129.000đ),https://www.foody.vn/ho-chi-minh/lau-bo-han-quan-5-nguyen-bieu
Copicopi - Coffee & Pizza - Quận 1,_._,"138 Yersin, Quận 1, TP. HCM",Đang mở cửa  09:00 - 23:59,Đang cập nhật,10.7682052000000,106.6970777000000,https://down-vn.img.susercontent.com/vn-11134513-7ra0g-m945dggw3eded2,--,--,--,--,--,Pizza Tôm hảo hạng (39.000đ) | Pizza Phô mai kéo sợi (25.000đ) | Pizza Hawaii sốt BBQ (39.000đ) | Pizza Bò sốt bulgogi (39.000đ) | Pizza Xúc Xích (39.000đ) | Pizza Bùng nổ hương vị (35.000đ) | Pizza Phô mai kéo sợi (150.000đ) | Pizza Tôm hảo hạng (230.000đ) | Pizza Hawaii sốt BBQ (230.000đ) | Pizza Xúc xích (230.000đ) | Pizza Bò sốt bulgogi (230.000đ) | Pizza Bùng nổ hương vị (210.000đ) | Cơm trộn thịt bò Hàn Quốc - Bibimbap (99.000đ) | Bánh gạo Tokbokki (40.000đ) | Cơm thịt heo chua ngọt (99.000đ) | Cơm thịt nguội Kim Chi (99.000đ),https://www.foody.vn/ho-chi-minh/copicopi-coffee-pizza-quan-1
Tapio cup - Parkson Lê Thánh Tôn,7.6,"Tầng 4,  Tầng 4 Parkson Lê Thánh Tôn, 22 Bis Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",Đang mở cửa  09:30 - 22:00,20.000đ - 30.000đ,10.7777190000000,106.7024400000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwevdv1ssw632e,9.0,8.0,7.0,7.0,7.0,,https://www.foody.vn/ho-chi-minh/tapio-cup-parkson-le-thanh-ton
